feed_water,separation,feed_idx,feed_furfural,phase2_water,phase1_water,phase2_ea,phase2_furfural,tau_13_rel_change,organic_ea,organic_water,aqueous_furfural,phase1_furfural,status,tau_31_rel_change,tau_31,aqueous_ea,aqueous_water,phase1_ea,organic_furfural,tau_13,sample,feed_ea
0.41,0.5016765113541858,3,0.051,0.3728993903121191,0.7394070310825628,0.5812488906688916,0.0458517190189893,0.03003266769096016,0.5812488906688916,0.3728993903121191,0.021008040243816483,0.021008040243816483,outlier,0.034558540579828594,2.942751922056451,0.23958492867362075,0.7394070310825628,0.23958492867362075,0.0458517190189893,4.150878400418296,8,0.538
0.41,0.5008912553721583,3,0.051,0.3670258939702677,0.7329006088733783,0.5867182691630373,0.04625583686669512,0.0431737116308696,0.5867182691630373,0.3670258939702677,0.021583430051956388,0.021583430051956388,outlier,0.05287419446572388,2.9948499170584846,0.24551596107466533,0.7329006088733783,0.24551596107466533,0.04625583686669512,4.203834852344619,9,0.538
0.41,0.49877575850275413,3,0.051,0.3400469485727641,0.7041168523722366,0.6115204220773071,0.04843262934992885,0.11393028138506874,0.6115204220773071,0.3400469485727641,0.02444342239633443,0.02444342239633443,outlier,0.16977538045610718,3.327369708129055,0.27143972523142884,0.7041168523722366,0.27143972523142884,0.04843262934992885,4.488973301146239,10,0.538
0.513,0.9164024733099474,4,0.103,0.23687159276342354,0.9433616274229037,0.6056850693856138,0.1574433378509625,-0.1012692455506201,0.6056850693856138,0.23687159276342354,0.017624232114518294,0.017624232114518294,valid,-0.06695911095917374,2.6539898535304656,0.03901414046257801,0.9433616274229037,0.03901414046257801,0.1574433378509625,3.621751225423111,1,0.385
0.513,0.9520890921507482,4,0.103,0.21831465684360654,0.9520969881506578,0.6208146556842584,0.16087068747213512,-0.06376346437755216,0.6208146556842584,0.21831465684360654,0.016261858931591905,0.016261858931591905,valid,-0.05381465888763325,2.6913786141280296,0.03164115291775037,0.9520969881506578,0.03164115291775037,0.16087068747213512,3.7728939433634046,2,0.385
0.513,0.9898650694355219,4,0.103,0.19549320230382145,0.9582859640530632,0.6392584166519145,0.16524838104426404,-0.034578721458971166,0.6392584166519145,0.19549320230382145,0.015210660719704849,0.015210660719704849,valid,-0.027519991762402187,2.766172527848215,0.02650337522723195,0.9582859640530632,0.02650337522723195,0.16524838104426404,3.890504115159281,3,0.385
0.513,1.0055800435383289,4,0.103,0.18650879877517285,0.9613408775433505,0.6465581546090666,0.16693304661576042,-0.015770933558348074,0.6465581546090666,0.18650879877517285,0.014723404391936179,0.014723404391936179,valid,-0.017331957962328063,2.795151899117376,0.023935718064713313,0.9613408775433505,0.023935718064713313,0.16693304661576042,3.966296702137472,4,0.385
0.513,1.01550066887159,4,0.103,0.17991881713177837,0.9623956237582567,0.6518529215288776,0.16822826133934407,-0.010724796594153872,0.6518529215288776,0.17991881713177837,0.014515308363631355,0.014515308363631355,valid,-0.007379185895613475,2.823462079721268,0.023089067878111963,0.9623956237582567,0.023089067878111963,0.16822826133934407,3.986631883328551,5,0.385
0.513,1.0352848517423987,4,0.103,0.1673511289432484,0.9650438729145991,0.6619858810138668,0.1706629900428848,0.005729792724000532,0.6619858810138668,0.1673511289432484,0.014039814273495028,0.014039814273495028,valid,0.011580081179329012,2.877390801429272,0.020916312811905827,0.9650438729145991,0.020916312811905827,0.1706629900428848,4.052941430133112,6,0.385
0.513,0.4938786884055768,4,0.103,0.38680085050367363,0.7641660140745636,0.492632093702471,0.12056705579385522,0.024178690049943524,0.492632093702471,0.38680085050367363,0.05498902072762367,0.05498902072762367,outlier,0.012806948223060636,2.880880565622824,0.1808449651978126,0.7641660140745636,0.1808449651978126,0.12056705579385522,4.127287741491818,7,0.385
0.513,0.49420077752853375,4,0.103,0.3816302152845189,0.7591501095510657,0.4970106377237657,0.12135914699171542,0.028656380300609893,0.4970106377237657,0.3816302152845189,0.05599389719035802,0.05599389719035802,outlier,0.04100291214783921,2.961082626481916,0.18485599325857627,0.7591501095510657,0.18485599325857627,0.12135914699171542,4.14533216700205,8,0.385
0.513,0.4922010269295259,4,0.103,0.3752199284118318,0.7508915607055202,0.5025719855519546,0.12220808603621348,0.054017021946894166,0.5025719855519546,0.3752199284118318,0.058000923415106743,0.058000923415106743,outlier,0.0448557367157795,2.9720418003304045,0.1911075158793731,0.7508915607055202,0.1911075158793731,0.12220808603621348,4.247531779628214,9,0.385
0.513,1.0887766806659605,4,0.103,0.1344444774693441,0.9732082876503791,0.6886122110889357,0.17694331144172035,0.08019045973727956,0.6886122110889357,0.1344444774693441,0.012657041807668142,0.012657041807668142,valid,0.06814057541675685,3.0382744021159658,0.01413467054195277,0.9732082876503791,0.01413467054195277,0.17694331144172035,4.353006839785625,10,0.385
0.226,0.9661914962944356,5,0.077,0.22650372092325285,0.941098751539805,0.6973862462834345,0.07611003279331259,-0.0967909637588225,0.6973862462834345,0.22650372092325285,0.008257607993472728,0.008257607993472728,valid,-0.0959315919895847,2.571579027178192,0.05064364046672222,0.941098751539805,0.05064364046672222,0.07611003279331259,3.6397980347560908,1,0.697
0.226,0.5122220449427696,5,0.077,0.2369025013019217,0.6117603013844937,0.7095103210528255,0.05358717764525278,-0.04521805204902564,0.7095103210528255,0.2369025013019217,0.026772517167640616,0.026772517167640616,outlier,-0.04510348557228977,2.7161571269057854,0.36146718144786566,0.6117603013844937,0.36146718144786566,0.05358717764525278,3.847629195822823,2,0.697
0.226,0.5117716651634563,5,0.077,0.23668169886633542,0.611245942733541,0.709291467672359,0.054026833461305726,-0.032649096546561514,0.709291467672359,0.23668169886633542,0.027154620960473757,0.027154620960473757,outlier,-0.027906435788578928,2.765073306435223,0.3615994363059852,0.611245942733541,0.3615994363059852,0.054026833461305726,3.8982802164627333,3,0.697
0.226,0.5099516883006686,5,0.077,0.2365726308812762,0.6097735645935992,0.7091819808952671,0.0542453882234567,-0.013110026554012548,0.7091819808952671,0.2365726308812762,0.027539134857148807,0.027539134857148807,outlier,-0.01631553892070439,2.7980430541086405,0.362687300549252,0.6097735645935992,0.362687300549252,0.0542453882234567,3.977019761469734,4,0.697
0.226,0.510715800671646,5,0.077,0.2363806240516322,0.6102065557802736,0.7089887928074853,0.054630583140882566,-0.011800648012982971,0.7089887928074853,0.2363806240516322,0.02773619152108524,0.02773619152108524,outlier,-0.0033171388988741794,2.8350163766878165,0.3620572526986411,0.6102065557802736,0.3620572526986411,0.054630583140882566,3.9822963621780536,5,0.697
0.226,0.5084744230704161,5,0.077,0.23639142342853628,0.6085001990233987,0.708996641672225,0.05461193489923871,0.008074898882308954,0.708996641672225,0.23639142342853628,0.028007896121072698,0.028007896121072698,outlier,4.37821362617442e-5,2.844576354637912,0.3634919048555286,0.6085001990233987,0.3634919048555286,0.05461193489923871,4.062391859041383,6,0.697
0.226,0.507700944024399,5,0.077,0.23622270392049977,0.6077720491054612,0.7088224428640868,0.0549548532154134,0.023033987327393417,0.7088224428640868,0.23622270392049977,0.028376403414501414,0.028376403414501414,outlier,0.014284250595418813,2.885082681042295,0.3638515474800375,0.6077720491054612,0.3638515474800375,0.0549548532154134,4.122674759831165,7,0.697
