Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
125,OK,4.5,44,49.75,44,4.5,0.0723828715,0.0167680746,0.0314118119,0.861257181,0.896205313,0.0864321305
126,OK,4.5,46,47.75,46,4.5,0.0747054776,0.0170351849,0.0314842537,0.863405855,0.893810265,0.0855844175
127,OK,4.5,48,45.75,48,4.5,0.0771926384,0.0173383254,0.0315509159,0.865331965,0.891256442,0.0847927561
128,OK,4.5,50,43.75,50,4.5,0.0798634959,0.0176786793,0.0316124412,0.867059194,0.888524059,0.0840479826
129,OK,5,20,73.25,20,5,0.0589430872,0.0188613751,0.0294104533,0.793969822,0.911646455,0.108736176
130,OK,5,22,71.25,22,5,0.0602802202,0.0183648879,0.0297622262,0.805414822,0.909957549,0.10486791
131,OK,5,24,69.25,24,5,0.0616823746,0.0180112371,0.0300500697,0.814886424,0.908267552,0.101683724
132,OK,5,26,67.25,26,5,0.0631543627,0.0177690957,0.0302900388,0.822836826,0.906555594,0.0990154763
133,OK,5,28,65.25,28,5,0.0647016302,0.0176165487,0.0304933162,0.829591268,0.904805049,0.0967447395
134,OK,5,30,63.25,30,5,0.0663302925,0.0175380037,0.0306678972,0.835388925,0.903001806,0.0947858932
135,OK,5,32,61.25,32,5,0.068047206,0.0175222365,0.0308196309,0.840409177,0.901133159,0.0930755829
136,OK,5,34,59.25,34,5,0.0698600649,0.017561125,0.0309528831,0.844788925,0.899187048,0.0915659461
137,OK,5,36,57.25,36,5,0.0717775242,0.0176488132,0.0310709689,0.848634264,0.897151503,0.0902201372
138,OK,5,38,55.25,38,5,0.0738093523,0.0177811506,0.0311764433,0.852028534,0.8950142,0.0890092961
139,OK,5,40,53.25,40,5,0.075966616,0.0179553115,0.0312712984,0.855037976,0.892762081,0.087910448
140,OK,5,42,51.25,42,5,0.0782619081,0.018169538,0.031357102,0.857715775,0.890380985,0.086905015
141,OK,5,44,49.25,44,5,0.0807096255,0.0184229677,0.0314350938,0.860105001,0.887855276,0.0859777414
142,OK,5,46,47.25,46,5,0.0833263129,0.0187155253,0.0315062551,0.86224077,0.885167427,0.0851159007
143,OK,5,48,45.25,48,5,0.08613109,0.0190478618,0.0315713569,0.864151857,0.882297548,0.0843086972
144,OK,5,50,43.25,50,5,0.0891461876,0.019421335,0.0316309942,0.865861908,0.879222813,0.0835468057
145,OK,5.5,20,72.75,20,5.5,0.0649157172,0.0205394655,0.0294317631,0.792783404,0.905652514,0.108358618
146,OK,5.5,22,70.75,22,5.5,0.0663957238,0.0199973854,0.029784016,0.804259227,0.903820255,0.104491157
147,OK,5.5,24,68.75,24,5.5,0.0679483685,0.0196107862,0.0300721475,0.813754264,0.901979479,0.101305677
148,OK,5.5,26,66.75,26,5.5,0.0695790633,0.0193455876,0.0303122359,0.821722113,0.900108696,0.0986344855
149,OK,5.5,28,64.75,28,5.5,0.0712939417,0.0191779424,0.0305154769,0.828489073,0.898190576,0.0963594316
150,OK,5.5,30,62.75,30,5.5,0.0730999023,0.0190908813,0.0306898714,0.834295116,0.896210221,0.0943950646
151,OK,5.5,32,60.75,32,5.5,0.0750046902,0.0190721892,0.0308412682,0.839320226,0.894154036,0.09267813
152,OK,5.5,34,58.75,34,5.5,0.0770170087,0.0191130291,0.0309740278,0.843701761,0.892008958,0.0911608169
153,OK,5.5,36,56.75,36,5.5,0.0791466621,0.0192070338,0.0310914555,0.847546162,0.889761877,0.0898062952
154,OK,5.5,38,54.75,38,5.5,0.081404731,0.0193496958,0.0311960919,0.850937024,0.887399172,0.0885856914
155,OK,5.5,40,52.75,40,5.5,0.083803788,0.0195379548,0.0312899102,0.853940776,0.884906296,0.0874759919
156,OK,5.5,42,50.75,42,5.5,0.086358161,0.0197699184,0.0313744534,0.856610735,0.88226738,0.0864585564
157,OK,5.5,44,48.75,44,5.5,0.0890842575,0.0200446765,0.0314509309,0.858990053,0.879464805,0.0855180426
158,OK,5.5,46,46.75,46,5.5,0.0920009653,0.0203621852,0.0315202858,0.861113886,0.876478742,0.0846416115
159,OK,5.5,48,44.75,48,5.5,0.0951301517,0.0207232031,0.0315832424,0.863011014,0.873286599,0.0838183259
160,OK,5.5,50,42.75,50,5.5,0.0984972922,0.0211292738,0.0316403377,0.864705045,0.869862363,0.0830386846
161,OK,6,20,72.25,20,6,0.070900569,0.0221865934,0.0294494677,0.791629355,0.899649957,0.107977646
162,OK,6,22,70.25,22,6,0.0725248319,0.0215996385,0.0298019721,0.803135414,0.89767319,0.104111048
163,OK,6,24,68.25,24,6,0.0742295142,0.0211805638,0.0300901578,0.812653544,0.895680322,0.100924285
164,OK,6,26,66.25,26,6,0.076020644,0.0208925949,0.0303301227,0.820638692,0.893649227,0.0982501217
165,OK,6,28,64.25,28,6,0.0779050635,0.0207099931,0.0305330724,0.82741818,0.891561858,0.0959706859
166,OK,6,30,62.25,30,6,0.0798904789,0.0206144414,0.0307070104,0.833232753,0.889402504,0.094000698
167,OK,6,32,60.25,32,6,0.0819855528,0.0205927553,0.030857782,0.838262982,0.887156659,0.0922770038
168,OK,6,34,58.25,34,6,0.0842000321,0.0206353993,0.0309897394,0.842646669,0.884810222,0.0907518432
169,OK,6,36,56.25,36,6,0.0865449103,0.0207355076,0.0311061748,0.84649059,0.882348908,0.0893883995
170,OK,6,38,54.25,38,6,0.0890326284,0.0208882269,0.0312096103,0.849878593,0.879757754,0.0881577827
171,OK,6,40,52.25,40,6,0.091677321,0.0210902715,0.0313019956,0.852877289,0.877020676,0.087036936
172,OK,6,42,50.25,42,6,0.0944951189,0.0213396232,0.0313848443,0.855540123,0.874120029,0.0860071509
173,OK,6,44,48.25,44,6,0.0975045207,0.0216353334,0.0314593291,0.85791033,0.871036142,0.0850529913
174,OK,6,46,46.25,46,6,0.100726854,0.0219773985,0.0315263481,0.860023109,0.867746789,0.0841614961
175,OK,6,48,44.25,48,6,0.104186853,0.0223666959,0.0315865702,0.861907239,0.864226568,0.083321575
176,OK,6,50,42.25,50,6,0.107913379,0.0228049675,0.0316404641,0.863586299,0.860446148,0.0825235361
177,OK,6.5,20,71.75,20,6.5,0.0768971996,0.023804275,0.0294635903,0.790506279,0.893639202,0.107593266
178,OK,6.5,22,69.75,22,6.5,0.0786670393,0.0231731609,0.029816118,0.802041982,0.891516835,0.103727584
179,OK,6.5,24,67.75,24,6.5,0.0805252355,0.0227220929,0.0301041243,0.811582848,0.889370632,0.100539547
180,OK,6.5,26,65.75,26,6.5,0.0824784483,0.0224116597,0.0303437232,0.819585125,0.887177821,0.0978623805
181,OK,6.5,28,63.75,28,6.5,0.0845342474,0.0222142708,0.0305461268,0.826377122,0.884919618,0.0955784937
182,OK,6.5,30,61.75,30,6.5,0.0867011695,0.0221102895,0.0307193381,0.832200334,0.882579485,0.09360278
183,OK,6.5,32,59.75,32,6.5,0.0889888218,0.022085583,0.0308691963,0.837235902,0.880141974,0.0918721859
184,OK,6.5,34,57.75,34,6.5,0.0914080267,0.0221299337,0.0310000418,0.841622058,0.877591923,0.0903390009
185,OK,6.5,36,55.75,36,6.5,0.0939710044,0.0222359902,0.0311151502,0.845465907,0.874913837,0.0889664198
186,OK,6.5,38,53.75,38,6.5,0.0966916005,0.0223985642,0.0312170214,0.848851539,0.87209137,0.0877255325
187,OK,6.5,40,51.75,40,6.5,0.0995855644,0.0226141543,0.0313075772,0.851845746,0.86910685,0.0865932346
188,OK,6.5,42,49.75,42,6.5,0.102670892,0.0228806264,0.0313882964,0.8545021,0.865940803,0.0855507433
189,OK,6.5,44,47.75,44,6.5,0.105968247,0.0231970023,0.0314603092,0.856863914,0.862571434,0.0845825208
190,OK,6.5,46,45.75,46,6.5,0.109501487,0.0235633299,0.0315244615,0.85896643,0.858974041,0.0836754746
